Aerobics/Partyrobics;g-gymnastics;Gymnasium (GYMN) Grote zaal
Aerobics/Partyrobics;Monday 20:00 - 21:00;Gymnasium (GYMN) Grote zaal
Aerobics/Partyrobics;Wednesday 18:00�- 19:00;Gymnasium (GYMN) Grote zaal
;;
Antwerp 10 Miles;Tuesday�19:00 - 20:30;Athletics track
Antwerp 10 Miles;Thursday 19:00 - 20:30;Athletics track
;;
Archery Tag;Monday�18:00 - 19:00;Beach- & fitnesshal (BFH) Beachveld 3 Rugbyterrein (R)
Archery Tag;Monday 19:00 - 20:00;Beach- & fitnesshal (BFH) Beachveld 3 Rugbyterrein (R)
;;
Athletics;Tuesday 19:00 - 21:00;Athletics Track
Athletics;Wednesday 16:00 - 18:00;Athletics Track
Athletics;Thursday�19:00 - 21:00;Athletics Track
Athletics;Wednesday�18:15 - 20:00;Athletics Track
;;
Badminton;Monday 19:00 - 20:30;Gebouw De Nayer (GDN) Grote zaal (B+C)
Badminton;Monday 20:30 - 21:45;Gebouw De Nayer (GDN) Grote zaal (B+C)
Badminton;Monday 21:45�- 23:00;Gebouw De Nayer (GDN) Grote zaal (B+C)
Badminton;Thursday 21:00 - 22:00;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
Badminton;Thursday 22:00 - 23:00;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
Badminton;Tuesday 19:00 - 21:00;Topsporthal (TSH) 1 & 2
;;
Balfolk;Tuesday 20:00 - 21:00;Gymnasium (GYMN) Grote zaal
;;
Ballet;Thursday 17:30 - 19:00;Gebouw De Nayer (GDN) Spiegelzaal 2
Ballet;Thursday 19:00 - 19:30;Gebouw De Nayer (GDN) Spiegelzaal 2
Ballet;Thursday 19:30 - 21:00;Gebouw De Nayer (GDN) Spiegelzaal 2
;;
Baseball;Sunday 16:00 - 18:00;Gebouw De Nayer - Grote Zaal
;;
Basketball;Monday 19:00 - 21:00;Topsporthal (TSH) Unit 3 & 4
Basketball;Monday 19:00 - 21:00;Topsporthal (TSH) Unit 3 & 4
Basketball;Wednesday 18:00 - 21:00;Topsporthal (TSH) Unit 4
;;
Beach Balance;Tuesday 19:00 - 20:00;Beach- & fitnesshal (BFH) Beachveld 1
;;
Beach Bootcamp;Wednesday 20:00 - 21:00;Beach- & fitnesshal (BFH) Beachveld 3
;;
Beach volleyball;Beginners, Wednesday 18:00 - 19:30;Beach- & fitnesshal (BFH) - Beachvelden 1 & 2
